date, log
2025-09-03 15:46:00.060675113 +0200 CEST m=+3.424081048,"""Illegal instruction
"""
2025-09-03 15:46:00.120859711 +0200 CEST m=+3.484265647,"""Illegal instruction
"""
2025-09-03 15:46:00.175930839 +0200 CEST m=+3.539336772,"""Illegal instruction
"""
2025-09-03 15:46:00.229108747 +0200 CEST m=+3.592514682,"""Illegal instruction
"""
2025-09-03 15:46:00.296151471 +0200 CEST m=+3.659557407,"""Illegal instruction
"""
2025-09-03 15:46:00.34829367 +0200 CEST m=+3.711699601,""""""
2025-09-03 15:46:00.399666928 +0200 CEST m=+3.763072863,"""Illegal instruction
"""
2025-09-03 15:46:00.522769742 +0200 CEST m=+3.886175678,"""Illegal instruction
"""
2025-09-03 15:46:00.768722063 +0200 CEST m=+4.132127997,"""Illegal instruction
"""
2025-09-03 15:46:00.946408996 +0200 CEST m=+4.309814933,"""Illegal instruction
"""
2025-09-03 15:46:01.020600206 +0200 CEST m=+4.384006145,"""Illegal instruction
"""
